778.1819,29.0013,12.4004,14.8954,16.2444,13.7258,34.0680,25.9734,8.6576,12.6902,13.0509,10.1995,30.9111
576.8268,134.9858,103.0386,16.4257,3.5985,1.3255,17.0451,68.4529,17.8998,28.6335,18.4820,2.8429,10.4426
75.7691,29.8419,16.3020,31.1958,31.2500,25.0758,48.2561,60.0628,86.0594,91.0962,72.1945,194.4866,238.4099
209.9448,138.7151,128.2590,48.0800,49.9977,61.0474,124.4692,19.7251,18.0814,33.0122,45.6144,61.4584,61.5954
81.4069,47.8892,23.4482,28.4120,25.9538,19.6190,430.0572,54.6967,21.4154,44.5800,70.6283,94.1710,57.7223
93.1102,69.2334,98.7199,49.8154,44.6373,31.5002,25.8906,49.8154,38.6441,133.0968,204.4877,77.7197,83.3293
187.1359,51.0680,42.2330,244.0291,53.2524,29.5146,40.2913,28.4951,21.3592,102.1845,102.5728,29.6117,68.2524
64.8507,110.8631,157.5320,109.8786,79.0286,34.7883,41.6803,43.2557,88.4148,98.1293,48.1129,23.3016,100.1641
71.4173,78.3066,155.2984,146.2004,224.1914,30.0815,65.6850,55.9032,42.9661,49.5924,31.0281,21.2464,28.0831
210.2241,167.6004,149.2997,156.3025,113.8189,61.4846,20.6349,28.0112,14.7526,15.7330,10.5976,9.1503,42.3903
208.1110,45.1048,53.0248,62.2929,64.6520,27.9166,65.1576,221.1425,58.3048,33.9830,63.1354,51.2835,45.8911
34.4152,76.8301,72.6220,42.9149,36.3735,27.2072,296.1127,158.4101,57.8726,59.9975,52.9978,35.7485,48.4980
68.1692,51.2278,33.3283,35.4460,137.2460,113.6490,112.3380,116.4725,91.7158,92.4721,123.9349,8.4707,15.5297
36.1624,73.4187,67.7563,39.5727,33.2668,36.9989,196.9629,250.2413,36.9989,35.9694,53.1497,62.9947,76.5073
28.2125,253.1543,31.5698,39.2051,47.1652,100.9910,94.4387,60.7570,36.3892,49.0063,92.8142,119.5646,46.7320
42.4825,39.2625,26.3308,49.7533,61.4905,142.6642,89.0158,38.4316,39.2106,82.3682,168.8393,119.8650,100.2856
666.5866,60.5918,10.7377,23.2886,18.3075,11.6224,52.1372,42.9615,6.8271,16.6800,18.5588,11.7208,59.9801
472.7295,39.1220,11.0050,17.7168,23.3402,29.8706,162.8371,116.7009,12.8190,24.8519,22.8565,20.9820,45.1687
387.0506,29.4082,12.5977,15.5017,26.1769,46.3414,137.3880,140.2102,12.7613,10.3072,8.8347,12.0250,161.3972
234.4509,40.6257,28.9821,49.7143,52.2692,57.0671,147.7386,209.1549,39.6700,24.4573,22.6240,19.1914,74.0546
248.3309,111.9549,48.2958,81.3259,101.6476,26.1391,80.7988,97.6652,40.1554,47.6125,43.9035,25.8658,46.3046
69.3618,40.6291,42.3934,43.9560,35.3866,30.7491,59.5826,97.0360,136.6065,138.0179,118.7620,107.9242,79.5947
47.4760,28.0603,23.2064,23.6224,39.9408,44.2400,87.9715,147.8828,166.9749,118.7130,113.7204,116.1243,42.0673
40.6292,44.2884,67.3368,107.7137,78.9872,61.6168,126.1777,144.0528,129.7527,81.5528,53.4573,31.2921,33.1427
60.1543,41.5972,18.6614,24.7081,23.1443,16.1072,20.0688,37.2185,44.2556,104.3578,170.1939,356.5992,82.9337
242.0869,114.5489,32.1465,36.6541,62.0391,39.0858,44.0284,39.4021,22.2416,48.9907,106.1663,84.5772,128.0323
39.2633,25.3921,40.4578,167.6877,135.3601,125.1493,77.1780,58.7986,59.9545,110.4689,76.5229,48.5108,35.2560
462.1716,26.1760,33.9283,50.2464,40.4364,18.9501,28.7601,37.4695,43.5948,88.2902,98.3873,40.1493,31.4399
517.3949,48.9092,74.6677,107.1678,63.2831,74.1907,33.8994,32.5320,6.5509,6.0421,9.5720,4.2295,21.5608
26.4082,31.5338,43.9022,57.3848,63.2347,37.0494,47.1335,434.0075,49.8635,67.5247,64.9061,52.6492,24.4025
30.1887,67.7259,29.3942,51.0427,33.5650,17.6101,17.4777,113.4062,112.6117,262.9593,153.8563,41.1784,68.9838
67.9392,67.2921,66.1598,77.0786,65.7554,106.9233,75.8654,97.2986,52.2485,95.7619,117.1951,56.6160,53.8661
117.4639,81.1456,97.7483,202.6564,97.8520,19.6638,24.3852,23.7107,43.0113,51.2608,91.5741,74.7120,74.8158
197.0026,40.6727,64.1897,157.0527,220.1822,82.3093,49.9735,39.7089,33.1550,35.9983,27.7577,18.9870,33.0105
152.2188,63.3657,47.8517,90.5153,110.1597,42.9154,54.5509,57.7746,42.9154,89.8605,86.4353,65.9850,95.4516
786.2434,28.9498,7.7709,18.2534,12.9908,4.9899,29.7360,31.2281,7.0703,25.6072,18.9754,4.6101,23.5748
448.7985,113.8645,98.2689,56.7105,37.9509,22.9349,41.2096,29.0028,11.7632,36.8509,44.1962,15.0159,43.4333
